epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.1978,1.12999,1.36777,1.15535,0.61497,0.47849,0.51282,0.36512,1.16909,1.22077,1.12136,0.00332667,0.00332667,0.07006
2,164.456,1.16919,1.40968,1.17502,0.53109,0.42335,0.45168,0.31521,1.23231,1.39511,1.15494,0.00600066,0.00600066,0.0394007
3,243.704,1.26372,1.61794,1.2378,0.46149,0.31143,0.32601,0.21925,1.40058,1.79648,1.28254,0.00801465,0.00801465,0.00808132
4,321.097,1.34909,1.82266,1.29325,0.39309,0.32806,0.31608,0.20847,1.42027,1.81563,1.30309,0.00703,0.00703,0.00703
5,397.074,1.36801,1.81167,1.30693,0.41543,0.32202,0.31614,0.21,1.42892,1.82209,1.29584,0.00604,0.00604,0.00604
6,473.109,1.32459,1.70745,1.28121,0.46963,0.31165,0.32927,0.21874,1.42421,1.78049,1.29058,0.00505,0.00505,0.00505
7,551.962,1.27498,1.55948,1.24616,0.43559,0.34333,0.34404,0.23462,1.38588,1.71274,1.26554,0.00406,0.00406,0.00406
8,627.439,1.24064,1.42919,1.21974,0.47029,0.32467,0.36063,0.24727,1.36334,1.66484,1.26132,0.00307,0.00307,0.00307
9,705.78,1.17471,1.27939,1.18201,0.51017,0.3661,0.38743,0.26417,1.33689,1.56906,1.23521,0.00208,0.00208,0.00208
10,788.326,1.13546,1.19428,1.15702,0.5156,0.38234,0.40921,0.28236,1.29962,1.51171,1.2164,0.00109,0.00109,0.00109
